Lab,Method,Subject,Subject_Unique,Language,Age,Session,total_trial_n,language_recoded,Native,ADS,IDS,Diff,Prop,binary_pref
infantll-madison,HPP,mb2_018,infantll-madison:mb2_018,English,212,2,13,American English,TRUE,1.9502187811332747,1.9188071421803237,-0.03141163895295107,0.4959406269723247,ADS_preference
infantll-madison,HPP,mb2_019,infantll-madison:mb2_019,English,185,1,13,American English,TRUE,1.6597977083460358,1.669598960439959,0.00980125209392324,0.5014719261579452,IDS_preference
infantll-madison,HPP,mb2_019,infantll-madison:mb2_019,English,192,2,12,American English,TRUE,1.7604301185147482,1.6437119533814861,-0.11671816513326205,0.4828564491921682,ADS_preference
infantll-madison,HPP,mb2_020,infantll-madison:mb2_020,English,266,1,16,American English,TRUE,1.8621339180572822,1.7849293950896332,-0.07720452296764901,0.4894155219777317,ADS_preference
infantll-madison,HPP,mb2_020,infantll-madison:mb2_020,English,272,2,12,American English,TRUE,2.3941707701299237,2.3162665860640073,-0.07790418406591648,0.491730684629159,ADS_preference
infantll-madison,HPP,mb2_021,infantll-madison:mb2_021,English,245,1,14,American English,TRUE,1.9357867967005924,2.211936530532434,0.2761497338318417,0.5332893146486778,IDS_preference
infantll-madison,HPP,mb2_021,infantll-madison:mb2_021,English,273,2,16,American English,TRUE,1.4370901064918096,2.089508620724109,0.6524185142322994,0.5924996809528359,IDS_preference
infantll-madison,HPP,mb2_022,infantll-madison:mb2_022,English,218,1,15,American English,TRUE,1.685018731099501,1.8922557960070128,0.2072370649075117,0.5289657759471895,IDS_preference
infantll-madison,HPP,mb2_022,infantll-madison:mb2_022,English,225,2,16,American English,TRUE,1.930422917703496,1.7019961411550433,-0.22842677654845267,0.46855721038141535,ADS_preference
infantll-madison,HPP,mb2_023,infantll-madison:mb2_023,English,251,1,13,American English,TRUE,1.4201288660670668,2.678000304293887,1.2578714382268201,0.6534689837651004,IDS_preference
